iter	R2	RMSE
229	0.9246279396	0.9427098627
230	0.9246858304	0.9423477613
231	0.9247631212	0.941864097
232	0.9248107102	0.9415661747
233	0.9248825313	0.9411163733
234	0.9249479897	0.9407062332
235	0.925007077	0.9403358583
236	0.9251107479	0.9396856695
237	0.9252014657	0.9391163481
238	0.9252634705	0.9387270236
239	0.925302792	0.9384800426
240	0.9253597451	0.9381222016
241	0.9254237261	0.93772004
242	0.9254884933	0.9373127609
243	0.925533241	0.937031268
244	0.9255862233	0.9366978649
245	0.925631221	0.9364146134
246	0.9256992611	0.9359861519
247	0.9257673632	0.9355571034
248	0.925835861	0.9351253638
249	0.9259409349	0.9344626978
250	0.9259729137	0.9342609246
251	0.9260386486	0.9338460278
252	0.9261153585	0.9333616276
253	0.9261810357	0.9329466959
254	0.9262457806	0.932537473
255	0.9263108813	0.9321258201
256	0.9263563467	0.9318382201
257	0.9264186855	0.9314437397
258	0.9264996193	0.9309313404
259	0.9265536847	0.9305888902
260	0.9266062271	0.9302559658
261	0.926657134	0.9299332907
262	0.9267175717	0.9295500591
263	0.9267736712	0.9291941947
264	0.9268303721	0.9288343761
265	0.9269210523	0.9282586387
266	0.9269704664	0.9279447533
267	0.9270070957	0.9277120101
268	0.9270724841	0.9272963863
269	0.9271298329	0.9269317104
270	0.9271986969	0.9264936207
271	0.927247083	0.9261856811
272	0.9273015	0.9258392368
273	0.9273376207	0.9256092036
274	0.9273968558	0.9252318436
275	0.927450723	0.9248885469
276	0.927492957	0.924619299
277	0.927543053	0.9242998282
278	0.9275894468	0.924003869
279	0.9276534692	0.9235952956
280	0.9276992608	0.9233029559
281	0.9277277949	0.9231207427
282	0.9277776034	0.9228025905
283	0.9278318472	0.9224559823
284	0.9279092143	0.9219613953
285	0.9279667566	0.9215933707
286	0.9280108884	0.9213110164
287	0.9280763281	0.9208921749
288	0.9281597616	0.920357889
289	0.9282011344	0.9200928341
290	0.9282555765	0.9197439336
291	0.9283045766	0.9194297962
292	0.9283549268	0.9191068913
293	0.9284008305	0.9188124037
294	0.9284539973	0.9184712028
295	0.9285123049	0.9180968647
296	0.928563183	0.9177701
297	0.9286040479	0.9175075607
298	0.9286500026	0.9172122319
299	0.928714098	0.9168001627
300	0.9287662885	0.9164644927
301	0.9288112597	0.9161751562
302	0.9288961388	0.915628811
303	0.9289289783	0.9154173435
304	0.9289916566	0.9150135966
305	0.9290474799	0.9146538562
306	0.929098229	0.9143266924
307	0.929144407	0.9140288956
308	0.9291652843	0.9138942286
309	0.9292191896	0.9135464246
310	0.9292951284	0.9130562337
311	0.9293391012	0.9127722656
312	0.9293935013	0.9124208375
313	0.9294594454	0.9119946527
314	0.929497255	0.9117502065
